"ENTITY","CORRELATIONID","REQUESTPAYLOAD","SOURCEAPPLICATION","ENDPOINT","STATUS","REPROCESSFLAG","ERRORTYPE","CREATEDBY","CREATEDDATE","UPDATEDBY","UPDATEDDATE","ERRORID","MSG_SIZE"
"Stock Transfer Shipment","058b203f8a59d75669924d0ff8cbd991","{
  ""correlation_id"" : ""058b203f8a59d75669924d0ff8cbd991"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : ""2023-07-04T20:05:08.095Z"",
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02470-040723"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97940*040723"",
      ""TransactionDate"" : ""2023-07-04T15:23:17Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -2.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 8.82
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",06-07-23 1:54:10.127000000 AM,"SA_OIC_INT_USER",06-07-23 1:54:10.127000000 AM,"45233604",0.0014
"Stock Transfer Shipment","058b203f8a59d75669924d0ff8cbd991","{
  ""correlation_id"" : ""058b203f8a59d75669924d0ff8cbd991"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : ""2023-07-04T20:05:08.095Z"",
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02470-040723"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97940*040723"",
      ""TransactionDate"" : ""2023-07-04T15:23:17Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -2.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 8.82
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",06-07-23 1:54:25.562000000 AM,"SA_OIC_INT_USER",06-07-23 1:54:25.562000000 AM,"45233613",0.0014
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:38:55.557000000 PM,"SA_OIC_INT_USER",04-07-23 7:38:55.557000000 PM,"44845570",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:45:42.331000000 PM,"SA_OIC_INT_USER",04-07-23 7:45:42.331000000 PM,"44701270",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:52:41.919000000 PM,"SA_OIC_INT_USER",04-07-23 7:52:41.919000000 PM,"45019347",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:36:15.968000000 PM,"SA_OIC_INT_USER",04-07-23 7:36:15.968000000 PM,"44700746",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:42:29.131000000 PM,"SA_OIC_INT_USER",04-07-23 7:42:29.131000000 PM,"44701044",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:35:49.311000000 PM,"SA_OIC_INT_USER",04-07-23 7:35:49.311000000 PM,"44845345",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:47:32.231000000 PM,"SA_OIC_INT_USER",04-07-23 7:47:32.231000000 PM,"45019129",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:55:30.153000000 PM,"SA_OIC_INT_USER",04-07-23 7:55:30.153000000 PM,"44846444",0.0016
